State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.88349	2.94002	2.95180	2.92353	2.95887	2.98243	2.94945	2.92589	2.88820	2.81281	2.79397	2.76334	2.66911	2.64320	2.59608	2.55368	2.52541	2.53718	2.51834	2.51834	2.45944
2	0.68265	0.68335	0.68453	0.68585	0.68501	0.68436	0.68585	0.68681	0.69023	0.69624	0.70137	0.70817	0.71506	0.71997	0.72642	0.73247	0.73879	0.74387	0.74958	0.75541	0.76212
3	2.55621	2.55153	2.54429	2.56303	2.56132	2.56473	2.54046	2.54472	2.52598	2.52258	2.53109	2.49320	2.48639	2.47489	2.45999	2.43998	2.40167	2.36803	2.32375	2.29054	2.25137
4	3.24231	3.27688	3.40061	3.35148	3.38787	3.42062	3.50614	3.55162	3.57164	3.53161	3.50432	3.49158	3.44245	3.30417	3.22048	3.09493	2.99850	2.96029	2.88024	2.78016	2.68555
5	1.01192	1.02849	1.00696	1.02352	0.99536	0.99205	0.99205	0.99536	0.99536	0.93408	0.87612	0.86287	0.79496	0.78668	0.75687	0.74362	0.74694	0.70388	0.70056	0.70222	0.68566
6	0.92669	0.86896	0.85336	0.84868	0.83932	0.80344	0.76912	0.73012	0.70672	0.74572	0.75820	0.74104	0.77224	0.76444	0.75976	0.76132	0.73480	0.72856	0.74260	0.76288	0.77536
7	3.26969	3.22695	3.18848	3.15001	3.17993	3.15001	3.09445	2.98760	2.90212	2.82091	2.73543	2.64140	2.56446	2.42769	2.33793	2.34221	2.34648	2.38067	2.34648	2.31656	2.32084
8	1.37071	1.40175	1.39554	1.38468	1.44056	1.45143	1.51042	1.50265	1.58493	1.59269	1.59579	1.48868	1.42814	1.55543	1.47626	1.46540	1.54922	1.50731	1.55388	1.57406	1.55233
9	1.25481	1.20389	1.13478	1.16024	1.17115	1.25845	1.30573	1.40393	1.41848	1.42939	1.38211	1.44758	1.38938	1.32028	1.34937	1.37483	1.29845	1.38938	1.40757	1.36756	1.33846
10	4.09647	4.02613	3.91027	3.77372	3.62890	3.54614	3.43855	3.35166	3.14063	2.92546	2.69374	2.88408	2.96684	2.88822	3.04960	3.05787	3.02477	3.03718	3.00408	2.96684	3.12822
