State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.69914	3.85509	4.02975	4.19818	4.31254	4.41235	4.39779	4.24808	3.93202	3.72825	3.56814	3.55566	3.71577	4.07758	4.38324	4.50800	4.59117	4.56830	4.48513	4.30006	4.13164
2	0.81836	0.80512	0.78906	0.76238	0.72495	0.66897	0.59294	0.50149	0.42074	0.38148	0.36685	0.36515	0.37715	0.39612	0.42167	0.44997	0.47757	0.49944	0.51748	0.53301	0.54590
3	0.84816	0.80456	0.75985	0.70987	0.64373	0.57947	0.49980	0.43216	0.37842	0.34648	0.34723	0.35024	0.36076	0.37504	0.39909	0.45245	0.55166	0.66966	0.78202	0.87784	0.97668
4	0.94270	0.93628	0.89131	0.82225	0.78210	0.76283	0.74517	0.70502	0.66487	0.67129	0.67129	0.66005	0.67611	0.71626	0.74035	0.78050	0.88007	1.09205	1.25586	1.38273	1.51763
5	0.95457	0.85224	0.74261	0.63589	0.57011	0.54526	0.51895	0.51456	0.50141	0.50579	0.51456	0.50871	0.49117	0.48240	0.47509	0.51018	0.60812	0.85809	1.27032	1.77027	2.34184
6	1.97049	1.77771	1.55326	1.21865	0.93774	0.67060	0.52464	0.43513	0.37730	0.33048	0.30019	0.32497	0.36077	0.41310	0.51224	0.79040	1.49405	2.48962	3.45765	4.14753	4.54548
7	6.09641	6.70756	7.48470	8.06945	7.94118	7.02068	5.31927	3.89703	3.04821	2.58041	2.58041	3.45564	5.30041	10.17829	17.45551	24.54787	27.61871	27.38104	25.04584	22.49561	19.81334
8	1.92645	2.12101	2.38408	2.84582	3.31853	3.94880	4.52290	4.71746	4.45987	4.85996	4.50920	2.55946	2.45396	2.67729	3.02806	3.40485	3.23769	2.81842	2.33201	1.99221	1.75655
9	1.39327	1.51526	1.53132	1.66936	1.80098	1.94866	2.17338	2.29537	2.32426	1.80098	1.43822	1.36438	1.19423	1.04977	1.00162	0.99841	0.95025	0.94062	1.00804	1.01767	0.93741
10	4.68951	5.62084	6.76400	8.82754	12.51633	18.10430	26.43148	37.03767	47.48681	51.93893	54.99953	59.56122	56.64671	48.72128	37.31524	25.12397	16.59957	11.04081	7.90351	5.82902	4.47403
