State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	1.47586	9.27798	2.91494	0.88480	2.79426	3.56825	4.23574	0.66067
2	79.26970	0.18784	0.58752	0.75503	0.70140	0.36686	0.58841	1.17837
3	8.16629	0.45044	2.89995	2.16240	2.53136	0.34724	0.60906	0.34232
4	1.91088	0.52389	3.47813	2.22649	3.50286	0.67131	0.83404	0.16580
5	2.09930	0.18389	1.23817	2.30640	0.87621	0.51458	0.76238	0.08205
6	2.22861	0.28557	0.91892	2.27661	0.75672	0.30020	1.23218	0.15877
7	0.81346	3.17553	2.68575	2.24793	2.73571	2.58049	10.02937	0.08772
8	2.23974	3.81290	1.52533	1.16930	1.59596	4.50934	3.11105	0.58531
9	0.95592	0.44184	1.23816	1.34658	1.38225	1.43826	1.47665	0.30368
10	0.84025	64.46890	8.76594	1.52324	2.69402	54.99757	23.39042	0.36255
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
