State (Emission order)	H3k9me3	H3k27me3	H3k4me3	H3k9ac	H3k4me2	H3k27ac	H3k4me1	H3k79me2	H4k20me1	H3k36me3
1	0.2083113835609336	0.22392515155371767	0.01436957005419823	0.004303337947513206	0.045541748792949054	4.3452880372395804E-4	0.003530741250587241	0.0031650596524821634	0.03301850827334125	0.017924733340633516
2	0.00644657606775834	0.004782785196986827	4.306634955641017E-4	2.913852452861285E-4	1.8315142498888105E-4	1.6452171546206296E-4	0.0011062155306233198	6.462837567989692E-5	4.4058467907336747E-4	6.463621806717856E-4
3	0.0025808507536286846	6.549438933559155E-4	7.242990739047742E-4	0.0017459193202073468	1.1964651203823637E-4	0.0013788860738829323	0.00278819780953386	0.019330626853063547	0.03585846426793228	0.07302423996483745
4	0.0025068456387281005	0.002212490197571294	0.0015978125999642826	0.009757673400773022	0.008895557007873936	0.008457570730901552	0.023397194142851484	0.17589320465177413	0.4823453492220465	0.1340275860400625
5	0.0048750778978764115	9.10898349056663E-4	0.0031504210405643223	0.01393071077187514	0.024503251813511054	0.01584093875740432	0.050042282189852204	0.9375380842830322	0.8585096644424439	0.09413386884409085
6	0.007361192734133333	5.351498846821929E-4	0.0015764067889388587	0.0038230334335730503	0.006917682506545934	0.018039418545773216	0.024215478116383894	0.5200266826934481	0.09425002579244894	0.04016366157952482
7	0.011202866888312176	0.009012199410349619	0.38256758969326904	0.5775339491382504	0.8444641124470117	0.43928216136416054	0.6061230713409229	0.8699822979532471	0.718317815405876	0.0893068026661466
8	0.0031277684628755503	0.006358125519478256	0.02685220028459098	0.0721252572788961	0.348668038045155	0.17606456031431003	0.3979327717030845	0.00711162704291901	0.021693155767148864	0.005914897969595857
9	0.0027819366999121387	4.942549681099422E-4	0.18046372848841583	0.7081489865853434	0.7504199188830766	0.9536686990852292	0.8387759608913711	0.04389031958348936	0.045069043325763766	0.015003321191174963
10	0.002692695709753952	0.039282068295543725	0.9047348849126328	0.8241923828564541	0.9866777647443344	0.36320080429347634	0.16956776812441687	0.20620460041231856	0.020894141784537513	6.862297764420002E-5
